episode,timestep,reward
11,2000,-104.0775
29,4000,-108.1647
38,6000,-103.2484
52,8000,-101.3679
61,10000,-107.3098
74,12000,-104.1599
77,14000,-90.8305
82,16000,-86.8287
86,18000,-78.2643
94,20000,-103.688
97,22000,-69.5181
99,24000,-51.1958
105,26000,-90.4525
108,28000,-71.2969
110,30000,-43.02
114,32000,-72.3508
116,34000,-46.8097
120,36000,-95.0773
124,38000,-78.6292
127,40000,-63.987
132,42000,-88.33
135,44000,-65.4446
137,46000,-49.7446
140,48000,-65.8457
142,50000,-47.3392
144,52000,-46.4824
147,54000,-63.8444
149,56000,-34.8331
151,58000,-42.4011
154,60000,-71.1134
156,62000,-46.3155
158,64000,-48.2701
160,66000,-46.7685
163,68000,-67.907
165,70000,-62.0883
167,72000,-49.1399
169,74000,-49.7401
172,76000,-84.7607
174,78000,-56.6348
176,80000,-52.4183
179,82000,-74.6705
181,84000,-39.6592
183,86000,-44.115
186,88000,-66.4677
189,90000,-65.4036
191,92000,-46.3777
193,94000,-43.3425
198,96000,-87.2033
202,98000,-97.9927
204,100000,-42.1126
206,102000,-45.7481
208,104000,-43.2209
210,106000,-47.4313
212,108000,-40.5363
215,110000,-65.3503
217,112000,-39.004
219,114000,-44.2115
221,116000,-41.6481
223,118000,-45.9504
225,120000,-45.6623
227,122000,-54.5555
229,124000,-40.1489
232,126000,-72.5008
235,128000,-64.1506
237,130000,-46.6398
240,132000,-71.8051
242,134000,-39.4113
244,136000,-41.0422
246,138000,-43.1322
248,140000,-42.0551
251,142000,-69.5893
253,144000,-41.0567
255,146000,-41.4526
257,148000,-44.4828
260,150000,-64.2021
262,152000,-40.3698
264,154000,-47.4823
267,156000,-66.2769
269,158000,-43.9828
271,160000,-45.3337
274,162000,-61.9884
276,164000,-39.7278
278,166000,-40.0135
282,168000,-79.7191
284,170000,-82.0948
287,172000,-70.452
289,174000,-47.0038
291,176000,-46.0068
293,178000,-40.0035
295,180000,-44.1127
297,182000,-39.999
299,184000,-38.3825
302,186000,-62.4792
306,188000,-72.0631
309,190000,-67.7345
311,192000,-45.6596
314,194000,-64.2415
316,196000,-42.5822
318,198000,-39.0056
320,200000,-45.0963
322,202000,-36.387
324,204000,-38.8635
327,206000,-66.8954
329,208000,-35.7945
331,210000,-32.9772
333,212000,-38.7359
335,214000,-41.3476
337,216000,-35.966
339,218000,-35.9618
341,220000,-31.8991
344,222000,-92.1576
346,224000,-29.3083
348,226000,-30.9287
351,228000,-61.572
354,230000,-61.7372
356,232000,-34.388
358,234000,-28.4681
360,236000,-67.239
362,238000,-29.7466
364,240000,-30.5262
366,242000,-31.822
368,244000,-27.8698
370,246000,-27.175
373,248000,-60.5407
375,250000,-28.4447
377,252000,-21.8116
379,254000,-24.1278
381,256000,-16.946
383,258000,-22.2368
385,260000,-21.1995
388,262000,-48.9408
390,264000,-15.7488
392,266000,-20.3205
395,268000,-87.0539
397,270000,-13.5833
399,272000,-18.6246
401,274000,-15.9348
403,276000,-20.658
405,278000,-16.1584
407,280000,-12.2533
409,282000,-13.0882
411,284000,-35.2994
413,286000,-10.7629
416,288000,-45.633
418,290000,-2.897
420,292000,-10.5144
422,294000,-3.4381
424,296000,-36.4561
428,298000,-61.8881
430,300000,-8.7431
433,302000,-72.8516
435,304000,-6.2856
437,306000,-5.7374
439,308000,0.761
441,310000,-3.0547
443,312000,-3.2972
445,314000,-3.2506
447,316000,-1.9594
449,318000,5.1922
451,320000,7.1311
454,322000,-32.193
456,324000,-1.672
458,326000,10.3955
460,328000,8.4681
462,330000,9.2283
464,332000,-0.2586
466,334000,-1.2659
468,336000,13.1915
470,338000,-41.4335
472,340000,7.1179
474,342000,12.4345
476,344000,11.1243
479,346000,-21.8737
481,348000,9.1403
483,350000,20.2982
485,352000,25.458
487,354000,13.6916
489,356000,11.568
491,358000,15.9554
493,360000,16.6306
495,362000,18.391
497,364000,26.5627
499,366000,18.1486
501,368000,28.8595
504,370000,-22.2132
506,372000,33.1005
508,374000,19.8859
511,376000,-21.2161
513,378000,29.7806
515,380000,27.6907
517,382000,32.7261
519,384000,23.7886
521,386000,-41.8866
523,388000,25.2954
525,390000,25.3761
527,392000,20.0561
529,394000,37.1924
531,396000,29.6626
